"Group","f00_t01_a","f01_t00_a","f01_t11_a","f11_t01_a","f00_t01_b","f01_t00_b","f01_t11_b","f11_t01_b","tn_00_a","tn_01_a","tn_11_a","tn_00_b","tn_01_b","tn_11_b","ef_00_a","ef_01_a","ef_11_a","ef_00_b","ef_01_b","ef_11_b","hidden_incl","turn_differ","trans_differ","both_differ","ntip"
"Heliconia",0.019562229299156,2.06115362243856e-09,2.06141984546735e-09,1.67495499238622,0.019562229299156,2.06115362243856e-09,2.06141984546735e-09,1.67495499238622,1.36960050866727,1.36960050866727,1.36960050866727,0.466726566027798,0.466726566027798,0.466726566027798,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.687,0.536,0.014,0.013,125
"Lecythidaceae",0.00787845477799688,0.106423766793797,59.9345070167361,99.893202498361,0.00787845477799688,0.106423766793797,59.9345070167361,99.893202498361,0.0911556705469244,0.0911556705469244,0.0911556705469244,0.20146305950091,0.20146305950091,0.20146305950091,2.10798528040344e-09,2.10798528040344e-09,2.10798528040344e-09,2.10798528040344e-09,2.10798528040344e-09,2.10798528040344e-09,0.875,0.605,0.074,0.059,104
"Lepidieae",99.9910100983191,3.86363173614687e-08,5.11824450790833,5.01399541056548e-09,2.78212461185986,0.962809300274462,4.92508969422439,2.34489422322984,1.34572597987388,1.34572597987388,1.34572597987388,6.47249831503997,6.47249831503997,6.47249831503997,0.864716470295142,0.864716470295142,0.864716470295142,0.864716470295142,0.864716470295142,0.864716470295142,0.976,0.859,0.526,0.449,91
"Lobelioideae",25.2781199825256,100,1.72943223275083,13.2429426537532,25.2781199825256,100,1.72943223275083,13.2429426537532,6.10304893845612e-08,6.10304893845612e-08,6.10304893845612e-08,1.42581343974077,1.42581343974077,1.42581343974077,5.31832998209762e-07,5.31832998209762e-07,5.31832998209762e-07,5.31832998209762e-07,5.31832998209762e-07,5.31832998209762e-07,0.986,0.966,0.034,0.033,117
"Lupinus",0.363217301312087,0.322641937063528,0.468965343059608,0.886616224803825,2.06115362243856e-09,0.0399695085512049,0.296815752995982,0.045753178482369,1.406943643482,1.406943643482,1.406943643482,0.371477538589251,0.371477538589251,0.371477538589251,0.206936292505379,0.206936292505379,0.206936292505379,0.11669809338316,0.11669809338316,0.11669809338316,0.777,0.668,0.657,0.652,95
"Lysimachieae",0.0443061178075033,0.233647986989193,2.06115362243856e-09,0.106134912419392,0.0443061178075033,0.233647986989193,2.06115362243856e-09,0.106134912419392,1.64991538340543,1.64991538340543,1.64991538340543,0.277037008392581,0.277037008392581,0.277037008392581,0.703445494635073,3,3,2.76481042202512,2.06115362243856e-09,2.06115362243856e-09,0.964,0.668,0.3,0.119,94
"Melastomataceae",0.0183212547190429,0.526441161702404,0.089797954766438,0.204299406510142,0.0155551293312648,0.03979158199557,0.237747567669156,0.253066366033147,0.96087370582065,0.96087370582065,0.96087370582065,0.337913374501322,0.337913374501322,0.337913374501322,0.368866505974362,2.06957053600644e-09,0.203039688743935,0.401126800094952,0.25052920584526,3,0.999,0.999,0.999,0.999,1811
"Meliaceae",0.035349240601888,0.418988783727396,0.740963772555672,6.3775798230626,0.0088462644345363,0.0224200159838994,0.198485829023341,0.226964889360168,1.45551430765428,1.45551430765428,1.45551430765428,0.0738225649755248,0.0738225649755248,0.0738225649755248,0.858993568151267,0.858993568151267,0.858993568151267,4.49360900059918e-08,4.49360900059918e-08,4.49360900059918e-08,1,0.999,0.536,0.536,217
"Mimosoids",0.589632269778594,0.99644841351465,0.463431892199294,0.235832245029384,0.589632269778594,0.99644841351465,0.463431892199294,0.235832245029384,0.450412985551994,0.450412985551994,0.450412985551994,0.128775953200094,0.128775953200094,0.128775953200094,0.160091065327571,0.160091065327571,0.160091065327571,2.06116722579267e-09,2.06116722579267e-09,2.06116722579267e-09,1,1,0,0,1610
"Myrteae",0.0602509376375528,0.142583350059286,0.0589440598596144,0.210083649591824,2.06115362243856e-09,0.548377357833647,2.06115362243856e-09,0.545948053668546,0.116838817150562,0.144449496232793,0.275938692162894,0.101155790826112,0.493993873634368,0.656106703528413,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.999,0.999,0.999,0.999,502
