"closed","widespread","open"
1,3.31185409489434e-21,8.53129778779275e-33
1,1.24596529775926e-20,7.0134238335318e-32
1,1.19169698465791e-21,1.04309628152978e-33
1,4.40850216642444e-22,1.76337271379837e-34
1,3.1335517571029e-21,8.00317512542556e-33
1,5.85186288882335e-21,2.04416554562359e-32
1,2.22522516081462e-19,5.97049811696869e-30
1,3.99112223156533e-19,1.43705766191864e-29
1,2.35542919682446e-21,3.55384079179987e-33
1,1.99760211477974e-21,2.83259674477045e-33
1,6.23963211697985e-21,2.03561712298966e-32
1,9.94703433804359e-20,9.40524857849215e-31
1,6.47928379819662e-21,1.67698423337959e-32
1,2.20351375698291e-21,2.19479631568054e-33
1,2.77195382605778e-21,4.15423591520731e-33
1,5.61378043415494e-21,1.55033486337405e-32
1,1.14368639878446e-21,8.46984737436413e-34
1,2.03810179244154e-22,3.21021363791413e-35
1,1.42430837194485e-22,2.30036665959636e-35
1,1.70350321093242e-21,1.80448119138072e-33
1,5.63682473284248e-21,1.61005048421397e-32
1,1.05519696292067e-21,7.2074042755105e-34
1,1.08292493568283e-21,7.82078084989132e-34
1,6.49379597975492e-21,2.36093082478656e-32
1,9.90637097509124e-21,5.28449749162914e-32
1,8.06596847891317e-20,1.82881108930427e-30
1,3.12874938382414e-20,1.66943028223097e-31
1,1.31106209465324e-19,1.30093563388089e-30
1,1.50417299153932e-19,1.41343133114374e-30
1,4.44558436935237e-20,4.85248085304169e-31
1,2.3866964412236e-21,4.17060273255782e-33
1,9.26101056552566e-21,3.94699720533811e-32
1,6.54052298122002e-21,2.41691988917375e-32
1,1.67567031365461e-20,1.39851237315777e-31
1,1.31499583292513e-18,2.46384643479597e-29
0.999999999200409,7.99591316045252e-10,3.49703763005301e-20
1,1.46371540794461e-19,4.10981028972929e-30
1,4.39940505038095e-19,8.08622707214281e-30
1,1.19010751719609e-19,1.91749061189212e-30
1,5.44922656372571e-19,1.39951911715053e-29
1,2.61418824588515e-19,1.66444782855701e-29
1,1.91412945544509e-19,4.65139591103512e-30
1,4.61762497732421e-19,7.16879248348929e-30
1,1.5655993475439e-19,3.97769551234802e-30
