"","Tropical & Subtropical Dry Broadleaf Forests","Tropical & Subtropical Moist Broadleaf Forests","Temperate Broadleaf & Mixed Forests","Temperate Grasslands, Savannas & Shrublands","Tropical & Subtropical Coniferous Forests","Temperate Conifer Forests","Montane Grasslands & Shrublands","Mediterranean Forests, Woodlands & Scrub","Mangroves","Tropical & Subtropical Grasslands, Savannas & Shrubland","Deserts & Xeric Shrublands","Flooded Grasslands & Savannas","Boreal Forests/Taiga","Tundra"
"Angelica archangelica subsp. litoralis (Fries) Thell.",0,0,44,0,0,4,0,0,0,0,0,0,2,2
"Angelica archangelica subsp. archangelica",0,0,19,0,0,13,0,0,0,0,0,0,42,71
"Angelica arguta Nutt. ex Torr. & A.Gray",0,0,0,2,0,18,0,0,0,0,1,0,0,0
"Angelica biserrata (Shan & Yuan) C.Q.Yuan & R.H.Shan",0,4,3,0,0,0,0,0,0,0,0,0,0,0
"Angelica breweri A.Gray",0,0,0,0,0,14,0,0,0,0,0,0,0,0
"Angelica cartilaginomarginata Nakai",0,0,47,0,0,0,0,0,0,0,0,0,0,0
"Angelica cartilaginomarginata var. matsumurae (H.Boissieu) Kitag.",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Angelica cincta H.Boissieu",0,0,11,0,0,2,0,0,0,0,0,2,1,0
"Angelica dahurica (Fisch. ex Hoffm.) Benth. & Hook.fil. ex Franch. & Savat.",0,2,86,3,0,0,0,0,0,0,0,3,0,0
"Angelica dahurica var. formosana (Boiss.) Yen",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Angelica dahurica subsp. dahurica",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Angelica decursiva Franch. & Sav.",0,60,156,0,0,4,0,0,0,0,0,1,0,0
"Angelica decursiva subsp. albiflora (Maxim.) Nakai",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Angelica duclouxii Fedde ex H.Wolff",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Angelica genuflexa Nutt. ex Torr. & A.Gray",0,0,17,1,0,14,0,0,0,0,0,0,7,5
"Angelica gigas Nakai",0,0,25,0,0,0,0,0,0,0,0,0,0,0
"Angelica grayi J.M.Coult. & Rose",0,0,0,0,0,49,0,0,0,0,0,0,0,0
"Angelica japonica A.Gray",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Angelica japonica var. japonica",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Angelica kangdingensis Shan Renhwa & Pu Fating",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Angelica keiskei Koidz.",0,0,8,0,0,0,0,0,0,0,0,0,0,0
