"","Tropical & Subtropical Dry Broadleaf Forests","Tropical & Subtropical Moist Broadleaf Forests","Temperate Broadleaf & Mixed Forests","Temperate Grasslands, Savannas & Shrublands","Tropical & Subtropical Coniferous Forests","Temperate Conifer Forests","Montane Grasslands & Shrublands","Mediterranean Forests, Woodlands & Scrub","Mangroves","Tropical & Subtropical Grasslands, Savannas & Shrubland","Deserts & Xeric Shrublands","Flooded Grasslands & Savannas","Boreal Forests/Taiga","Tundra"
"Prostanthera porcata B.J.Conn",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Prostanthera prunelloides R.Br.",0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Prostanthera rhombea R.Br.",0,0,19,1,0,0,0,0,0,0,0,0,0,0
"Prostanthera ringens Benth.",0,0,6,23,0,0,0,0,0,33,0,0,0,0
"Prostanthera rotundifolia R.Br.",0,0,71,12,0,0,5,0,0,0,0,0,0,0
"Prostanthera rugosa A.Cunn. ex Benth.",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Prostanthera scutellarioides Druce",0,0,49,3,0,0,0,0,0,0,0,0,0,0
"Prostanthera sejuncta M.L.Williams, Drinnan & N.G.Walsh",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Prostanthera serpyllifolia Briq.",0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Prostanthera sieberi Benth.",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Prostanthera spinosa F.Muell.",0,0,0,0,0,0,0,9,0,0,0,0,0,0
"Prostanthera stenophylla B.J.Conn",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Prostanthera striatiflora F.Muell.",0,0,2,38,0,0,0,16,0,1,199,0,0,0
"Prostanthera suborbicularis C.T.White & W.D.Francis",0,0,0,24,0,0,0,0,0,8,1,0,0,0
"Prostanthera tallowa B.J.Conn & T.C.Wilson",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Prostanthera violacea R.Br.",0,0,16,0,0,0,0,0,0,0,0,0,0,0
"Prostanthera walteri F.Muell.",0,0,7,0,0,0,2,0,0,0,0,0,0,0
"Prunella grandiflora (L.) Turra",0,0,141,4,0,3,0,27,0,0,0,0,3,0
"Prunella vulgaris L.",0,0,63,7,0,22,0,28,0,1,0,0,7,7
"Prunella vulgaris subsp. lanceolata (Barton) Piper & Beattie",0,0,3,6,0,7,0,0,0,0,1,0,0,0
"Prunella vulgaris subsp. asiatica (Nakai) H.Hara",0,0,15,0,0,3,0,0,0,0,0,0,0,0
"Prunella vulgaris subsp. vulgaris",0,0,2,1,0,2,0,1,0,0,0,0,0,0
"Pseudocaryopteris bicolor (Hardw.) P.D.Cantino",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnanthemum floridanum E.Grant & Epling",0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Pycnanthemum incanum (L.) Michx.",0,0,70,0,0,2,0,0,0,0,0,0,0,0
"Pycnanthemum incanum var. incanum",0,0,19,0,0,0,0,0,0,0,0,0,0,0
"Pycnanthemum incanum var. puberulum (E.Grant & Epling) Fernald",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pycnanthemum muticum Pers.",0,0,44,0,0,7,0,0,0,0,0,0,0,0
"Pycnanthemum tenuifolium Schrad.",0,0,120,62,0,8,0,0,0,0,0,0,0,0
"Pycnanthemum torreyi Benth.",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pycnanthemum verticillatum var. pilosum (Nutt.) T.S.Cooperrider",0,0,24,46,0,0,0,0,0,0,0,0,0,0
"Pycnanthemum verticillatum Pers.",0,0,24,1,0,0,0,0,0,0,0,0,0,0
"Pycnanthemum verticillatum var. verticillatum",0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Pycnanthemum virginianum (L.) B.L.Rob. & Fernald",0,0,97,46,0,2,0,0,0,0,0,0,0,0
"Pycnostachys reticulata Benth.",0,4,0,0,0,0,10,0,0,8,0,0,0,0
"Pycnostachys umbrosa Perkins",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnostachys urticifolia Hook.",0,6,0,0,0,0,5,0,0,7,0,0,0,0
"Rhabdocaulon strictum (Benth.) Epling",0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Rhaphiodon echinus Schauer",9,28,0,0,0,0,0,0,3,19,77,0,0,0
"Rhododon ciliatus (Benth.) Epling",0,0,4,0,0,1,0,0,0,3,0,0,0,0
"Rostrinucula dependens Kudo",0,1,4,0,0,9,0,0,0,0,0,0,0,0
"Rostrinucula sinensis (Hemsl.) C.Y.Wu",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Rotheca myricoides (Hochst.) Steane & Mabb.",0,21,0,0,0,0,23,0,0,41,6,2,0,0
"Rotheca myricoides var. discolor (Klotzsch) Verdc.",0,8,0,0,0,0,6,0,0,9,1,0,0,0
"Rotheca myricoides var. myricoides",0,22,0,0,0,0,7,0,0,24,0,1,0,0
"Rotheca myricoides subsp. myricoides",0,2,0,1,0,0,1,4,0,4,1,0,0,0
"Rotheca myricoides subsp. austromonticola (Verdc.) Verdc.",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Rotheca myricoides subsp. napperae (Verdc.) Verdc.",0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Rotheca myricoides subsp. muenzneri (B.Thomas) Verdc.",0,0,0,0,0,0,1,0,0,3,0,0,0,0
"Rotheca myricoides f. myricoides",0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Rotheca myricoides subsp. ussukumae (Verdc.) Verdc.",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rotheca myricoides subsp. namibiensis (R.Fern.) R.Fern.",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rotheca myricoides f. discolor (R.B.Fern.) R.Fern.",0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Rotheca serrata (L.) Steane & Mabb.",4,38,1,0,0,0,0,0,0,0,0,0,0,0
"Rubiteucris palmata Kudo",0,4,6,0,0,6,0,0,0,0,0,0,0,0
"Rubiteucris siccanea (W.W.Sm.) P.D.Cantino",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Rydingia integrifolia (Benth.) Scheen & V.A.Albert",0,0,0,0,0,0,9,0,0,0,2,0,0,0
"Rydingia persica (Burm.f.) Scheen & V.A.Albert",0,0,0,0,0,0,1,0,0,0,2,0,0,0
"Saccocalyx saturejoides Coss. & Durieu",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Salvia absconditiflora Greuter & Burdet",0,0,1,0,0,3,0,1,0,0,0,0,0,0
"Salvia acerifolia B.L.Turner",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Salvia adenophora Fernald",2,0,0,0,11,0,0,0,0,0,1,0,0,0
"Salvia adiantifolia Stibal",0,4,0,0,0,1,0,0,0,0,0,0,0,0
"Salvia aegyptiaca Forssk.",0,0,0,0,0,0,0,0,0,0,8,0,0,0
"Salvia aequidistans Fernald",2,0,0,0,2,0,0,0,0,0,0,0,0,0
"Salvia aerea H.Lév.",0,2,0,0,0,2,0,0,0,0,0,0,0,0
"Salvia aethiopis L.",0,0,24,36,0,25,0,41,0,0,11,0,0,0
"Salvia africana L.",0,0,0,0,0,0,0,6,0,1,0,0,0,0
"Salvia akiensis A.Takano, Sera & N.Kurosaki",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Salvia alamosana Rose",4,0,0,0,17,0,0,0,0,0,0,0,0,0
"Salvia albicaulis Benth.",0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Salvia albocaerulea Linden",1,0,0,0,16,0,0,0,0,0,0,0,0,0
"Salvia alborosea Epling & Játiva",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia amethystina Sm.",0,7,0,0,0,0,3,0,0,0,0,0,0,0
"Salvia amethystina subsp. amethystina",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia amethystina subsp. sumapacis Fern.Alonso",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia amethystina subsp. ampelophylla (Epling) Wood & Harley",0,3,0,0,0,0,1,0,0,0,0,0,0,0
"Salvia amplexicaulis Lam.",0,0,9,0,0,0,0,12,0,0,0,0,0,0
"Salvia amplifrons Briq.",2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia angulata Benth.",0,15,0,0,0,0,0,0,0,1,1,0,0,0
"Salvia angustiarum Epling",2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Salvia apiana Jeps.",0,0,0,0,0,1,0,24,0,0,7,0,0,0
"Salvia appendiculata Stibal",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia areolata Epling",0,1,0,0,3,0,0,0,0,0,0,0,0,0
"Salvia argentea L.",0,0,3,0,0,1,0,77,0,0,0,0,0,0
"Salvia aspera M.Martens & Galeotti",2,0,0,0,0,0,0,0,0,0,1,0,0,0
"Salvia atrocyanea Epling",3,5,0,0,0,0,6,0,0,0,0,0,0,0
"Salvia atropatana Bunge",0,0,2,0,0,0,2,0,0,0,0,0,0,0
"Salvia atropurpurea C.Y.Wu",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia atrorubra C.Y.Wu",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Salvia aucheri Benth.",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Salvia aucheri f. glabricaulis Maire",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Salvia aurita var. galpinii (Skan) Hedge",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Salvia aurita var. aurita",0,0,0,0,0,0,5,1,0,0,0,0,0,0
"Salvia aurita L.f.",0,1,0,0,0,0,0,2,0,0,0,0,0,0
"Salvia austriaca Jacq.",0,0,9,4,0,0,0,0,0,0,0,0,0,0
"Salvia axillaris var. potosina B.L.Turner",0,0,0,0,1,0,0,0,0,0,4,0,0,0
"Salvia axillaris Moc. & Sessé ex Benth.",3,1,0,0,21,0,0,0,0,0,17,0,0,0
"Salvia axillaris var. axillaris",0,0,0,0,3,0,0,0,0,0,3,0,0,0
"Salvia axillaris var. hidalgoana B.L.Turner",0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Salvia azurea Michx. ex Vahl",0,0,22,117,0,4,0,0,0,0,0,0,0,0
"Salvia azurea subsp. azurea",0,0,24,0,0,46,0,0,0,0,0,0,0,0
"Salvia ballotiflora Benth.",0,2,0,6,13,0,0,0,0,2,79,0,0,0
"Salvia betulifolia Epling",2,0,0,0,9,0,0,0,0,0,2,0,0,0
"Salvia betulifolia var. betulifolia",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Salvia betulifolia var. chasmema Reveal & W.L Hess",0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Salvia bifidocalyx C.Y.Wu & Y.C.Huang",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Salvia blepharophylla Brandegee ex Epling",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Salvia bowleyana Dunn",0,7,9,0,0,0,0,0,0,0,0,0,0,0
"Salvia bowleyana var. subbipinnata C.Y.Wu",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia brachyloma Stibal",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Salvia brandegeei Munz",0,0,0,0,0,0,0,3,0,0,6,0,0,0
"Salvia breviflora Moc. & Sessé ex Benth.",9,0,0,0,6,0,0,0,0,0,3,0,0,0
"Salvia brevipes Benth.",0,4,0,3,0,0,0,0,0,13,0,3,0,0
"Salvia broussonetii Benth.",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Salvia buchananii Hedge",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Salvia bulleyana Diels",0,2,0,0,0,4,0,0,0,0,0,0,0,0
"Salvia bullulata Benth.",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia cabulica Benth.",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Salvia cacaliifolia Benth.",1,2,0,0,13,0,0,0,0,0,0,0,0,0
"Salvia cadmica Boiss.",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Salvia caespitosa Montbret & Aucher ex Benth.",0,0,0,2,0,0,0,1,0,0,0,0,0,0
"Salvia calderoniae Bedolla & Zamudio",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Salvia californica Brandegee",0,0,0,0,0,0,0,0,0,0,12,0,0,0
"Salvia calolophos Epling",0,2,0,0,0,0,6,0,0,1,0,0,0,0
"Salvia campanulata Wall. ex Benth.",0,2,0,0,0,3,3,0,0,0,0,0,0,0
"Salvia canariensis L.",0,0,0,1,0,0,0,9,0,0,0,0,0,0
"Salvia candelabrum Boiss.",0,0,0,0,0,0,0,8,0,0,0,0,0,0
"Salvia candicans M.Martens & Galeotti",0,0,0,0,0,0,0,0,0,0,6,0,0,0
"Salvia candidissima Vahl",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Salvia canescens var. daghestanica (Sosn.) Yu.L.Menitskiĭ",0,0,2,1,0,0,0,0,0,0,0,0,0,0
"Salvia canescens C.A.Mey.",0,0,1,3,0,0,0,0,0,0,0,0,0,0
"Salvia carduacea Benth.",0,0,0,4,0,0,0,29,0,0,13,0,0,0
"Salvia carnea Kunth",4,47,0,0,60,0,5,0,0,1,1,0,0,0
"Salvia castanea Diels",0,0,0,0,0,12,2,0,0,0,0,0,0,0
"Salvia caudata Epling",0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Salvia cavaleriei var. simplicifolia E.Peter",0,11,6,0,0,6,0,0,0,0,0,0,0,0
"Salvia cavaleriei H.Lév.",0,11,11,0,0,4,1,0,0,0,0,0,0,0
"Salvia cavaleriei var. erythrophylla (Hemsl.) E.Peter",0,2,10,0,0,4,0,0,0,0,0,0,0,0
"Salvia cedronella Boiss.",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Salvia cedrosensis Greene",0,0,0,0,0,0,0,3,0,0,6,0,0,0
"Salvia ceratophylla L.",0,0,0,1,0,0,0,5,0,0,3,0,0,0
"Salvia cerradicola E.P.Santos",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Salvia chamaedryoides Cav.",1,2,0,0,14,0,0,0,0,0,23,0,0,0
"Salvia chamelaeagnea P.J.Bergius",0,0,0,0,0,0,0,11,0,0,0,0,0,0
"Salvia chapalensis Briq.",2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Salvia chiapensis Fernald",0,2,0,0,6,0,0,0,0,0,0,0,0,0
"Salvia chionopeplica Epling",0,0,0,0,0,1,0,2,0,0,11,0,0,0
"Salvia chionophylla Fernald",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Salvia chloroleuca Rech.f. & Aellen",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Salvia cinnabarina M.Martens & Galeotti",8,8,0,0,44,0,0,0,0,0,1,0,0,0
"Salvia circinnata Cav.",10,2,0,0,30,0,0,0,0,0,8,0,0,0
"Salvia clevelandii Greene",0,0,0,0,0,0,0,9,0,0,0,0,0,0
"Salvia coahuilensis Fernald",0,0,0,0,4,0,0,0,0,0,7,0,0,0
"Salvia coccinea Buc'hoz ex Etl.",33,124,67,12,30,17,5,5,2,27,28,0,0,0
"Salvia columbariae Benth.",0,0,0,1,0,0,0,48,0,0,73,0,0,0
"Salvia columbariae var. columbariae",0,0,0,0,0,1,0,4,0,0,9,0,0,0
"Salvia columbariae var. argillacea S.L.Welsh & N.D.Atwood",0,0,0,0,0,0,0,1,0,0,3,0,0,0
"Salvia compsostachys Epling",0,3,0,0,5,0,0,0,0,0,2,0,0,0
"Salvia concolor Lamb. ex Benth.",0,1,0,0,14,0,0,0,0,0,1,0,0,0
"Salvia confertiflora Pohl",0,0,2,2,0,0,0,0,0,0,0,0,0,0
"Salvia confertispicata Fragoso & Mart.Gord.",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Salvia congestiflora Epling",0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia connivens Epling",0,1,0,0,3,0,0,0,0,0,1,0,0,0
"Salvia corrugata Vahl",0,6,0,0,0,0,3,0,0,0,0,0,0,0
"Salvia cryptodonta Fernald",0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Salvia cuatrecasana Epling",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia curviflora Benth.",1,0,0,0,8,0,0,0,0,0,0,0,0,0
"Salvia cuspidata subsp. gilliesii (Benth.) J.R.I.Wood",1,3,0,7,0,0,36,0,0,32,0,0,0,0
"Salvia cuspidata Ruiz & Pav.",1,2,0,2,0,0,0,0,0,0,1,0,0,0
"Salvia cuspidata subsp. bangii (Rusby) J.R.I.Wood",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia cyclostegia Stibal",0,1,0,0,0,4,0,0,0,0,0,0,0,0
"Salvia cynica Dunn",0,0,1,0,0,11,0,0,0,0,0,0,0,0
"Salvia dentata Ait.",0,0,0,0,0,0,0,3,0,0,4,0,0,0
"Salvia deserta Schangin",0,0,0,2,0,1,3,0,0,0,4,0,0,0
"Salvia digitaloides Diels",0,1,0,0,0,4,0,0,0,0,0,0,0,0
"Salvia discolor Kunth",1,2,1,0,5,0,0,1,0,1,1,0,0,0
"Salvia disermas L.",0,0,0,0,0,0,2,6,0,1,14,0,0,0
"Salvia disjuncta Fernald",0,0,0,0,9,0,0,0,0,0,1,0,0,0
"Salvia divinorum Epling & Játiva",2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia dolomitica Codd",0,0,0,0,0,0,2,1,0,0,0,0,0,0
"Salvia dombeyi Epling",0,6,0,0,0,0,2,0,0,0,0,0,0,0
"Salvia dominica L.",0,0,0,0,0,0,0,5,0,0,2,0,0,0
"Salvia dorisiana Standl.",0,3,0,0,1,0,0,0,0,0,0,0,0,0
"Salvia elegans Vahl",5,5,0,0,57,0,0,0,0,0,4,0,0,0
"Salvia engelmannii A.Gray",0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Salvia eremostachya Jeps.",0,0,0,0,0,0,0,3,0,0,6,0,0,0
"Salvia erythrostoma Epling & Epling",0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Salvia euphratica Montbret & Aucher ex Benth.",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Salvia evansiana Hand.-Mazz. & Stibal",0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Salvia evansiana var. scaposa E.Peter",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia exserta Griseb.",5,5,0,0,0,0,0,0,0,4,0,0,0,0
"Salvia farinacea Benth.",0,0,2,27,3,4,0,0,0,0,17,0,0,0
"Salvia filifolia Ramamoorthy",1,0,0,0,3,0,0,0,0,0,1,0,0,0
"Salvia filipes Benth.",0,1,0,0,10,0,0,0,0,0,1,0,0,0
"Salvia flaccidifolia Fernald",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia flava Forrest ex Diels",0,2,0,0,0,5,1,0,0,0,0,0,0,0
"Salvia flava var. megalantha Diels",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Salvia flocculosa Benth.",1,2,0,0,0,0,1,0,0,0,0,0,0,0
"Salvia florida Benth.",1,8,0,0,0,0,1,0,0,0,0,0,0,0
"Salvia formosa L' Herit.",0,3,0,0,0,0,0,0,0,0,1,0,0,0
"Salvia forreri Greene",0,4,0,0,31,0,0,0,0,0,8,0,0,0
"Salvia fruticosa Mill.",0,0,0,0,0,0,0,42,0,0,0,0,0,0
"Salvia fruticulosa Benth.",2,0,0,0,4,0,0,0,0,0,0,0,0,0
"Salvia fulgens Cav.",2,0,0,0,23,0,0,0,0,0,2,0,0,0
"Salvia funerea M.E.Jones",0,0,0,0,0,0,0,0,0,0,16,0,0,0
"Salvia garipensis E.Mey. ex Benth.",0,0,0,0,0,0,0,0,0,0,10,0,0,0
"Salvia gesneriiflora Lindl. & Paxton",3,0,0,0,29,0,0,0,0,0,0,0,0,0
"Salvia glabrescens Makino",0,0,29,0,0,0,0,0,0,0,0,0,0,0
"Salvia glabrescens var. glabrescens",0,0,18,0,0,1,0,0,0,0,0,0,0,0
"Salvia glabrescens var. repens (Koidz.) S.Kurosaki",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Salvia glechomifolia Kunth",2,1,0,0,20,0,0,0,0,0,4,0,0,0
"Salvia glutinosa L.",0,0,75,3,0,25,0,9,0,0,0,0,0,0
"Salvia gracilipes Epling",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Salvia gravida Epling",3,0,0,0,4,0,0,0,0,0,0,0,0,0
"Salvia greatae Brandegee",0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Salvia greggii A.Gray",0,0,0,1,27,0,0,0,0,0,43,0,0,0
"Salvia grewiifolia S.Moore",1,0,0,0,0,0,0,0,0,24,0,1,0,0
"Salvia guadalajarensis Briq.",3,0,0,0,3,0,0,0,0,0,0,0,0,0
"Salvia haenkei Benth.",10,4,0,0,0,0,1,0,0,0,0,0,0,0
"Salvia handelii Stibal",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Salvia hayatae var. hayatae",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia hayatae var. pinnata (Hayata) C.Y.Wu",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia hayatana Makino ex Hayata",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia heerii Regel",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia helianthemifolia Benth.",0,4,0,0,17,0,0,0,0,0,2,0,0,0
"Salvia henryi A.Gray",0,0,0,0,5,8,0,0,0,0,31,0,0,0
"Salvia herbacea Benth.",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia heterochroa Stibal",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Salvia heterofolia Epling & Mathias",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Salvia hians Royle ex Benth.",0,1,1,0,0,3,1,0,0,0,0,0,0,0
"Salvia hierosolymitana Boiss.",0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Salvia hintonii Epling",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Salvia hirtella Vahl",0,1,0,0,0,0,2,0,0,0,0,0,0,0
"Salvia holwayi S.F.Blake",1,2,0,0,7,0,0,0,0,0,0,0,0,0
"Salvia honania L.H.Bailey",0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Salvia hupehensis Stibal",0,1,3,0,0,0,0,0,0,0,0,0,0,0
"Salvia hylocharis Diels",0,1,0,0,0,2,0,0,0,0,0,0,0,0
"Salvia infuscata Epling",0,2,0,0,3,0,0,0,0,0,0,0,0,0
"Salvia interrupta subsp. interrupta",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Salvia interrupta Schousb.",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Salvia interrupta subsp. paui (Maire) Maire",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Salvia involucrata Cav.",0,11,0,0,16,0,0,0,0,0,4,0,0,0
"Salvia iodantha Fernald",8,0,0,0,26,0,0,0,0,0,0,0,0,0
"Salvia jaimehintoniana Ramamoorthy ex B.L.Turner",0,0,0,0,11,0,0,0,0,0,2,0,0,0
"Salvia japonica Thunb.",0,0,92,0,0,2,0,0,0,0,0,0,0,0
"Salvia japonica var. japonica",0,5,10,0,0,0,0,0,0,0,1,0,0,0
"Salvia japonica var. formosana Murata",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia japonica var. multifoliolata E.Peter",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Salvia jorgehintoniana Ramamoorthy ex B.L.Turner",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Salvia judaica Boiss.",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Salvia jurisicii Košanin",0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Salvia karwinskii Benth.",0,18,0,0,23,0,0,0,0,0,0,0,0,0
"Salvia keerlii Benth.",5,5,0,0,25,0,0,0,0,0,18,0,0,0
"Salvia kiangsiensis C.Y.Wu",0,1,3,0,0,0,0,0,0,0,0,0,0,0
"Salvia kiaometiensis H.Lév.",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia koyamae Makino",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Salvia lachnostachys Benth.",0,3,0,0,0,0,0,0,0,1,0,0,0,0
"Salvia laevis Benth.",1,0,0,0,21,0,0,0,0,0,6,0,0,0
"Salvia lanceolata Lam.",0,0,0,0,0,0,0,3,0,0,3,0,0,0
"Salvia langlassei Fernald",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Salvia languidula Epling",7,0,0,0,3,0,0,0,1,0,0,0,0,0
"Salvia lanigera Poir.",0,0,0,1,0,0,0,7,0,0,8,0,0,0
"Salvia lasiantha Benth.",4,0,0,0,7,0,0,0,0,0,5,0,0,0
"Salvia lasiocephala Hook. & Arn.",50,58,0,0,55,0,0,0,1,0,3,0,0,0
"Salvia lavanduloides Kunth",12,8,0,0,96,0,0,0,0,0,1,0,0,0
"Salvia leptostachys Benth.",19,0,0,0,15,0,0,0,0,0,6,0,0,0
"Salvia leucocephala Kunth",0,3,0,0,0,0,1,0,0,0,0,0,0,0
"Salvia leucochlamys Epling",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Salvia leucodermis Baker",0,6,0,0,0,0,3,0,0,0,0,0,0,0
"Salvia leucophylla Greene",0,0,0,0,0,0,0,23,0,0,0,0,0,0
"Salvia liguliloba Sun",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Salvia limbata C.A.Mey.",0,0,2,2,0,0,0,0,0,0,2,0,0,0
"Salvia lineata Benth.",0,0,0,0,3,0,0,0,0,0,3,0,0,0
"Salvia littae Vis.",2,1,0,0,14,0,0,0,0,0,0,0,0,0
"Salvia longispicata M.Martens & Galeotti",19,16,0,0,32,0,0,0,0,0,8,0,0,0
"Salvia longistyla Benth.",3,0,0,0,21,0,0,0,0,0,0,0,0,0
"Salvia lophanthoides Fernald",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia lutescens (Koidz.) Koidz.",0,0,17,0,0,0,0,0,0,0,0,0,0,0
"Salvia lycioides A.Gray",1,0,0,1,15,5,0,0,0,0,18,0,0,0
"Salvia lyrata L.",0,0,105,8,0,83,0,0,0,5,0,0,0,0
"Salvia macrophylla Benth.",1,31,0,0,0,0,1,0,0,0,0,0,0,0
"Salvia macrosiphon Boiss.",0,0,1,1,0,0,0,0,0,0,1,0,0,0
"Salvia madrensis Seem.",2,0,0,0,3,1,0,0,0,0,0,0,0,0
"Salvia mairei H.Lév.",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Salvia manantlanensis Ramamoorthy",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Salvia maximowicziana Hemsl.",0,0,18,0,0,4,0,0,0,0,0,0,0,0
"Salvia maximowicziana var. floribunda E.Peter",0,0,0,0,0,2,1,0,0,0,0,0,0,0
"Salvia meiliensis S.W.Su",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Salvia melaleuca Epling",0,3,0,0,0,0,2,0,0,0,0,0,0,0
"Salvia melaleuca subsp. totensis J.R.I.Wood & Harley",0,5,0,0,0,0,1,0,0,0,0,0,0,0
"Salvia melaleuca subsp. melaleuca",0,7,0,0,0,0,1,0,0,0,0,0,0,0
"Salvia melissiflora Benth.",0,26,0,0,0,0,0,0,0,5,0,0,0,0
"Salvia melissodora Lag.",11,2,0,0,26,0,0,0,0,0,23,0,0,0
"Salvia mellifera Greene",0,0,0,0,0,0,0,38,0,0,5,0,0,0
"Salvia merjamie Forssk.",0,0,0,0,0,0,14,0,0,0,2,0,0,0
"Salvia mexiae Epling",0,0,0,0,4,0,0,0,0,0,0,0,0,0
