"wcvp_name","gbif_name"
"Gonzalagunia discolor","Gonzalagunia discolor Standl."
"Arracacia trifida","Arracacia trifida J.M.Coult. & Rose"
"Angraecopsis elliptica","Angraecopsis elliptica Summerh."
"Solanum azureum","Solanum azureum Fernald"
"Gonzalagunia dodsonii","Gonzalagunia dodsonii Dwyer"
"Cleome domingensis","Cleome domingensis Iltis"
"Gonzalagunia exigua","Gonzalagunia exigua B.Ståhl"
"Tetracera sarmentosa subsp. andamanica","Tetracera sarmentosa subsp. andamanica (Hoogland) Hoogland"
"Lagerstroemia macrocarpa","Lagerstroemia macrocarpa Wall. ex Kurz"
"Gonzalagunia haitiensis","Gonzalagunia haitiensis Urb. & Ekman"
"Gonzalagunia hirsuta","Gonzalagunia hirsuta (Jacq.) K.Schum."
"Gonzalagunia killipii","Gonzalagunia killipii Standl."
"Aethionema parviflorum","Aethionema R.Br."
"Xanthium orientale","Xanthium orientale L."
"Gonzalagunia longithyrsa","Gonzalagunia longithyrsa Fosberg"
"Gonzalagunia microsepala","Gonzalagunia microsepala Urb. & Ekman"
"Gonzalagunia mildredae","Gonzalagunia mildredae D.R.Simpson ex C.M.Taylor"
"Ophrestia oblongifolia var. velutinosa","Ophrestia oblongifolia var. velutinosa H.M.L.Forbes"
"Taraxacum sect. Taraxacum","Taraxacum"
"Gonzalagunia mollis","Gonzalagunia mollis Spruce ex K.Schum."
"Taraxacum campylodes","Taraxacum campylodes G.E.Haglund"
"Salvadora alii","Salvadora alii Rajput & Tahir"
"Tanacetum parthenium","Tanacetum parthenium (L.) Sch.Bip."
"Gonzalagunia ovatifolia","Gonzalagunia ovatifolia (Donn.Sm.) B.L.Rob."
"Gonzalagunia pachystachya","Gonzalagunia pachystachya Standl."
"Angraecopsis gassneri","Angraecopsis gassneri G.Will."
"Gonzalagunia panamensis","Gonzalagunia panamensis (Cav.) K.Schum."
"Myosotis alpestris subsp. pyrenaica","Myosotis alpestris subsp. pyrenaica (Douin) Litard."
"Myosotis martini","Myosotis martini Sennen"
"Octoknema bakossiensis","Octoknema bakossiensis Gosline & Malécot"
"Octoknema belingensis","Octoknema belingensis Gosline & Malécot"
"Octoknema chailluensis","Octoknema chailluensis Gosline & Malécot"
"Octoknema kivuensis","Octoknema kivuensis Gosline & Malécot"
"Octoknema mokoko","Octoknema mokoko Gosline & Malécot"
"Octoknema ogoouensis","Octoknema ogoouensis Gosline & Malécot"
"Cunonia bopopensis","Cunonia bopopensis Pillon & H.C.Hopkins"
"Geissois belema","Geissois belema Pillon & H.C.Hopkins"
"Geissois pruinosa var. intermedia","Geissois pruinosa var. intermedia (Vieill. ex Pamp.) H.C.Hopkins & Pillon"
"Gonzalagunia pauciflora","Gonzalagunia pauciflora B.Ståhl"
"Pancheria xaragurensis","Pancheria xaragurensis H.C.Hopkins & Pillon"
"Weinmannia dichotoma var. monticola","Weinmannia dichotoma var. monticola (Däniker) H.C.Hopkins & Pillon"
"Isoglossa dispersa","Isoglossa dispersa I.Darbysh. & L.J.Pearce"
"Striga magnibracteata","Striga magnibracteata Eb.Fisch. & I.Darbysh."
"Justicia angustissima","Justicia angustissima A.L.A.Côrtes & Rapini"
"Justicia attenuata","Justicia attenuata A.L.A.Côrtes & Rapini"
"Justicia chlamidocalyx","Justicia chlamidocalyx A.L.A.Côrtes & Rapini"
"Justicia jacuipensis","Justicia jacuipensis A.L.A.Côrtes & Rapini"
"Plantago pyrophila","Plantago pyrophila Villarroel & J.R.I.Wood"
"Mezilaurus revolutifolia","Mezilaurus revolutifolia F.M.Alves & P.L.R.Moraes"
"Conchocarpus hamadryadicus","Conchocarpus hamadryadicus Pirani & Kallunki"
"Conchocarpus minutiflorus","Conchocarpus minutiflorus Groppo & Pirani"
"Phaeanthus intermedius","Phaeanthus intermedius (P.Parm.) I.M.Turner & Veldkamp"
"Gonzalagunia rosea","Gonzalagunia rosea Standl."
"Meiogyne caudata","Meiogyne caudata (C.E.C.Fisch.) I.M.Turner"
"Justicia jamisonii","Justicia jamisonii Jongkind & Vollesen"
"Pterocymbium tinctorium var. javanicum","Pterocymbium tinctorium var. javanicum (R.Br.) Kosterm."
"Chrysanthemum indicum","Chrysanthemum indicum L."
"Angraecopsis gracillima","Angraecopsis gracillima (Rolfe) Summerh."
"Gonzalagunia rudis","Gonzalagunia rudis (Standl.) Standl."
"Gonzalagunia sagrana","Gonzalagunia sagrana Urb."
"Gonzalagunia sessilifolia","Gonzalagunia sessilifolia Standl."
"Gonzalagunia sororia","Gonzalagunia sororia Standl."
"Prunus amygdalus","Prunus amygdalus Stokes"
"Prunus avium","Prunus avium (L.) L."
"Ardisia ebo","Ardisia ebo Cheek"
"Populus mainlingensis","Populus mainlingensis Z.Wang & S.L.Tung"
"Salix candida","Salix candida Flüggé ex Willd."
"Salix caesia","Salix caesia Vill."
"Gonzalagunia stenostachya","Gonzalagunia stenostachya (Standl.) W.C.Burger"
"Salix waldsteiniana","Salix waldsteiniana Willd."
"Gonzalagunia surinamensis","Gonzalagunia surinamensis Bremek."
"Gonzalagunia tacanensis","Gonzalagunia tacanensis Lundell"
"Gonzalagunia thyrsoidea","Gonzalagunia thyrsoidea (Donn.Sm.) B.L.Rob."
"Angraecopsis hallei","Angraecopsis hallei Szlach. & Olszewski"
"Populus deltoides","Populus deltoides W.Bartram ex Marshall"
"Populus cathayana","Populus cathayana Rehder"
"Populus ciliata","Populus ciliata Wall. ex Royle"
"Gonzalagunia whitei","Gonzalagunia whitei (Rusby) Standl."
"Populus × inopina","Populus ×inopina Eckenw."
"Populus euphratica","Populus euphratica Olivier"
"Populus yatungensis","Populus yatungensis (Z.Wang & P.Y.Fu) Z.Wang & S.L.Tung"
"Populus platyphylla","Populus platyphylla T.Y.Sun"
"Populus keerqinensis","Populus keerqinensis T.Y.Sun"
"Populus fremontii","Populus fremontii S.Watson"
"Populus × xiaohei","Populus ×xiaohei T.S.Hwang & Y.Liang"
"Populus shanxiensis","Populus shanxiensis Z.Wang & S.L.Tung"
"Populus × canescens","Populus ×canescens (Aiton) Sm."
"Populus balsamifera","Populus balsamifera L."
"Angraecopsis holochila","Angraecopsis holochila Summerh."
"Populus cathayana var. latifolia","Populus cathayana f. latifolia Z.Wang & C.Y.Yu"
"Populus yunnanensis var. microphylla","Populus yunnanensis var. microphylla Z.Wang & S.L.Tung"
"Populus yatungensis var. crenata","Populus yatungensis var. crenata Z.Wang & S.L.Tung"
"Populus haoana var. megaphylla","Populus haoana var. megaphylla Z.Wang & S.L.Tung"
"Populus cathayana var. pedicellata","Populus cathayana var. pedicellata Z.Wang & S.L.Tung"
"Populus × brayshawii","Populus ×brayshawii B.Boivin"
"Populus szechuanica","Populus szechuanica C.K.Schneid."
"Populus girinensis","Populus girinensis A.K.Skvortsov"
"Populus simonii","Populus simonii Carrière"
"Populus × smithii","Populus ×smithii B.Boivin"
"Populus × steiniana","Populus ×steiniana Bornm."
"Populus × tomentosa","Populus tomentosa Carrière"
"Populus tremula","Populus tremula L."
"Populus × rollandii","Populus ×rollandii Rouleau"
"Populus simaroa","Populus simaroa Rzed."
"Populus × rouleauana","Populus ×rouleauana B.Boivin"
"Angraecopsis ischnopus","Angraecopsis ischnopus (Schltr.) Schltr."
"Populus wuana","Populus wuana Z.Wang & S.L.Tung"
"Populus xiangchengensis","Populus xiangchengensis Z.Wang & S.L.Tung"
"Populus yunnanensis","Populus yunnanensis Dode"
"Populus deltoides subsp. monilifera","Populus deltoides subsp. monilifera (Aiton) Eckenw."
"Populus trinervis","Populus trinervis Z.Wang & S.L.Tung"
"Populus tristis","Populus tristis Fisch."
"Populus usbekistanica","Populus usbekistanica Kom."
"Populus tremuloides","Populus tremuloides Michx."
"Populus ningshanica","Populus ningshanica Z.Wang & S.L.Tung"
"Populus × parryi","Populus ×parryi Sarg."
"Gonzalea secunda","Gonzalea secunda M.Martens & Galeotti"
"Populus glauca","Populus glauca Haines"
"Populus nakaii","Populus nakaii A.K.Skvortsov"
"Populus nigra","Populus nigra L."
"Angraecopsis lisowskii","Angraecopsis lisowskii Szlach. & Olszewski"
"Populus mexicana subsp. dimorpha","Populus mexicana subsp. dimorpha (Brandegee) Eckenw."
"Populus haoana var. microcarpa","Populus haoana var. microcarpa Z.Wang & S.L.Tung"
"Populus haoana var. macrocarpa","Populus haoana var. macrocarpa Z.Wang & S.L.Tung"
"Populus fremontii subsp. mesetae","Populus fremontii var. mesetae (Eckenw.) Little"
"Populus deltoides subsp. wislizeni","Populus deltoides subsp. wislizeni_UNMATCHED"
"Populus pruinosa","Populus pruinosa Schrenk"
"Populus pseudoglauca","Populus pseudoglauca Z.Wang & P.Y.Fu"
"Goodyera","Goodyera R.Br."
"Populus qamdoensis","Populus qamdoensis Z.Wang & S.L.Tung"
"Populus × rasumowskiana","Populus ×rasumowskiana C.K.Schneid."
"Populus pseudomaximowiczii","Populus pseudomaximowiczii Z.Wang & S.L.Tung"
"Goodyera afzelii","Goodyera afzelii Schltr."
"Populus sinxiangensis","Populus sinxiangensis T.B.Chao"
"Populus yunsiaomanshanensis","Populus yunsiaomanshanensis T.B.Chao & C.W.Chiuan"
"Populus honanensis","Populus honanensis T.B.Chao & C.W.Chiuan"
"Populus celtidifolia","Populus celtidifolia T.B.Chao"
"Goodyera alveolata","Goodyera alveolata Pradhan"
"Populus yunungii","Populus yunungii G.L.Lu"
"Populus haoana","Populus haoana W.C.Cheng & C.Wang"
"Populus grandidentata","Populus grandidentata Michx."
"Populus hsinganica","Populus hsinganica Z.Wang & A.K.Skvortsov"
"Goodyera amoena","Goodyera amoena Schltr."
"Populus × hopeiensis","Populus hopeiensis Poljakov"
"Populus × hinckleyana","Populus ×hinckleyana Correll"
"Populus yunsiaoshanensis","Populus yunsiaoshanensis T.B.Chao & C.W.Chiuan"
"Populus heterophylla","Populus heterophylla L."
"Populus × hastata","Populus hastata Dode"
"Angraecopsis lovettii","Angraecopsis lovettii P.J.Cribb"
"Goodyera angustifolia","Goodyera angustifolia Schltr."
"Populus wenxianica","Populus wenxianica Z.C.Feng & J.L.Guo"
"Goodyera beccarii","Goodyera beccarii Schltr."
"Goodyera bifida","Goodyera bifida (Blume) Blume"
"Populus mexicana","Populus mexicana Wesm."
"Goodyera biflora","Goodyera biflora (Lindl.) Hook.f."
"Populus macrocarpa","Populus macrocarpa Schrenk"
"Populus manshurica","Populus manshurica Nakai"
"Salix × gillotii","Salix ×gillotii A.Camus & E.G.Camus"
"Salix × ganderi","Salix ganderi Gand."
"Salix glabra","Salix glabra Scop."
"Angraecopsis macrophylla","Angraecopsis macrophylla Summerh."
"Salix × hermaphroditica","Salix hermaphroditica L."
"Salix × gaspensis","Salix ×gaspeensis C.K.Schneid."
"Salix fruticulosa","Salix fruticulosa Andersson"
"Salix × fruticosa","Salix ×fruticosa Döll"
"Salix × friesiana","Salix ×friesiana Andersson"
"Salix fulvopubescens","Salix fulvopubescens Hayata"
"Goodyera boninensis","Goodyera boninensis Nakai"
"Salix × fragilis","Salix fragilis L."
"Populus hsinganica var. trichorachis","Populus hsinganica var. trichorachis Z.F.Chen"
"Populus lancifolia","Populus lancifolia N.Chao"
"Populus alba","Populus alba L."
"Populus alaschanica","Populus alaschanica Kom."
"Populus adenopoda","Populus adenopoda Maxim."
"Populus × acuminata","Populus ×acuminata Rydb."
"Populus","Populus L."
"Populus schneideri","Populus schneideri (Rehder) N.Chao"
"Goodyera brachystegia","Goodyera brachystegia Hand.-Mazz."
"Populus guzmanantlensis","Populus guzmanantlensis A.Vázquez & Cuevas"
"Populus qiongdaoensis","Populus qiongdaoensis T.Hong & P.Luo"
"Populus intramongolica","Populus intramongolica T.Y.Sun & E.W.Ma"
"Goodyera bracteata","Goodyera bracteata Thouars"
"Populus × jackii","Populus ×jackii Sarg."
"Populus kangdingensis","Populus kangdingensis Z.Wang & S.L.Tung"
"Goodyera bradeorum","Goodyera bradeorum Schltr."
"Populus lasiocarpa","Populus lasiocarpa Oliv."
"Populus laurifolia","Populus laurifolia Ledeb."
"Populus liaotungensis","Populus liaotungensis Z.Wang & A.K.Skvortsov"
"Populus ilicifolia","Populus ilicifolia (Engl.) Rouleau"
"Angraecopsis malawiensis","Angraecopsis malawiensis P.J.Cribb"
"Populus pseudosimonii var. patula","Populus pseudosimonii var. patula T.Y.Sun"
"Goodyera casta","Goodyera casta Ridl."
"Salix gilashanica","Salix gilashanica Z.Wang & P.Y.Fu"
"Salix geyeriana","Salix geyeriana Andersson"
"Salix gilgiana","Salix gilgiana Seemen"
"Salix × glatfelteri","Salix ×glatfelteri C.K.Schneid."
"Salix glauca","Salix glauca L."
"Salix heterochroma","Salix heterochroma Seemen"
"Salix futura","Salix futura Seemen"
"Salix fuscescens","Salix fuscescens Andersson"
"Salix × hankensonii","Salix ×hankensonii Dode"
"Salix × grahamii","Salix grahami Borrer ex Baker"
"Goodyera clausa","Goodyera clausa (A.A.Eaton ex Ames) Schltr."
"Salix haoana","Salix haoana Fang"
"Salix × hapala","Salix ×hapala Kimura"
"Salix hartwegii","Salix hartwegii Benth."
"Goodyera colorata","Goodyera colorata (Blume) Blume"
"Salix gyirongensis","Salix gyirongensis S.D.Zhao & C.F.Fang"
"Salix gyamdaensis","Salix gyamdaensis C.F.Fang"
"Salix guinieri","Salix ×guinieri Chass. & Goerz"
"Salix × grayi","Salix ×grayi C.K.Schneid."
"Salix hastata","Salix hastata L."
"Salix gordejevii","Salix gordejevii Y.L.Chang & A.K.Skvortsov"
"Salix gooddingii","Salix gooddingii C.R.Ball"
"Salix helvetica","Salix helvetica Vill."
"Salix gracilior","Salix gracilior (Siuzew) Nakai"
"Goodyera cordata","Goodyera cordata (Lindl.) G.Nicholson"
"Salix × hatusimae","Salix ×hatusimae Kimura"
"Salix × hayatana","Salix ×hayatana Kimura"
"Salix × hebecarpa","Salix hebecarpa (Fernald) Fernald"
"Salix herbacea","Salix herbacea L."
"Goodyera crocodiliceps","Goodyera crocodiliceps Ormerod"
"Salix gracilistyla","Salix gracilistyla Miq."
"Salix elbrusensis","Salix elbrusensis Boiss."
"Salix eleagnos","Salix eleagnos Scop."
"Goodyera daibuzanensis","Goodyera daibuzanensis Yamam."
"Salix × dutillyi","Salix ×dutillyi Lepage"
"Goodyera dawsonii","Goodyera dawsonii Boxall ex Náves"
"Salix eriocephala","Salix eriocephala Michx."
"Salix × eriocataphylla","Salix ×eriocataphylla Kimura"
"Salix × digenea","Salix ×digenea Jos.Kern."
"Salix × erdingeri","Salix ×erdingeri A.Kern."
"Salix discolor","Salix discolor Muhl."
"Goodyera denticulata","Goodyera denticulata J.J.Sm."
"Salix divergentistyla","Salix divergentistyla C.F.Fang"
"Salix divaricata","Salix divaricata Pall."
"Salix dissa","Salix dissa C.K.Schneid."
"Salix disperma","Salix disperma Roxb. ex D.Don"
"Salix × doniana","Salix ×doniana G.Anderson"
"Angraecopsis parva","Angraecopsis parva (P.J.Cribb) P.J.Cribb"
"Salix dshugdshurica","Salix dshugdshurica A.K.Skvortsov"
"Salix drummondiana","Salix drummondiana Barratt ex Hook."
"Salix driophila","Salix driophila C.K.Schneid."
"Goodyera dolabripetala","Goodyera dolabripetala (Ames) Schltr."
"Salix dolichostachya","Salix dolichostachya Flod."
"Salix doii","Salix doii Hayata"
"Salix flabellaris","Salix flabellaris Andersson"
"Salix × finnmarchica","Salix ×finnmarchica Willd."
"Salix erioclada","Salix erioclada H.Lév. & Vaniot"
"Salix foetida","Salix foetida Schleich. ex DC."
"Goodyera elmeri","Goodyera elmeri (Ames) Ames"
"Salix × forbyana","Salix ×forbyana Sm."
"Salix × forbesiana","Salix forbesiana Andersson"
"Salix × flueggeana","Salix ×flueggeana Willd."
"Salix floridana","Salix floridana Chapm."
"Salix floccosa","Salix floccosa Burkill"
"Salix × euryadenia","Salix ×euryadenia Ausserd. ex A.Kern."
"Salix × euerata","Salix ×euerata Kimura"
"Goodyera erosa","Goodyera erosa (Ames & C.Schweinf.) Ames, F.T.Hubb. & C.Schweinf."
"Salix erythrocarpa","Salix erythrocarpa Kom."
"Salix ernestii","Salix ernestii C.K.Schneid."
"Salix etosia","Salix etosia C.K.Schneid."
"Goodyera erythrodoides","Goodyera erythrodoides Schltr."
"Salix fedtschenkoi","Salix fedtschenkoi Goerz"
"Salix faxonianoides","Salix faxonianoides Z.Wang & P.Y.Fu"
"Salix excelsa","Salix excelsa J.F.Gmel."
"Salix exigua","Salix exigua Nutt."
"Salix fargesii","Salix fargesii Burkill"
"Salix kusanoi","Salix kusanoi (Hayata) C.K.Schneid."
"Angraecopsis parviflora","Angraecopsis parviflora (Thouars) Schltr."
"Salix × perthensis","Salix ×perthensis Druce"
"Salix petiolaris","Salix petiolaris Sm."
"Salix permollis","Salix permollis Z.Wang & C.Y.Yu"
"Salix × kudoi","Salix ×kudoi Kimura"
"Salix krylovii","Salix krylovii E.Wolf"
"Salix × krausei","Salix krausei Andersson"
"Salix jaliscana","Salix jaliscana M.E.Jones"
"Salix kouytchensis","Salix kouytchensis (H.Lév.) C.K.Schneid."
"Salix limprichtii","Salix limprichtii Pax & K.Hoffm."
"Salix pentandra","Salix pentandra L."
"Salix kirilowiana","Salix kirilowiana Stschegl."
"Goodyera foliosa","Goodyera foliosa (Lindl.) Benth. ex C.B.Clarke"
"Salix khokhriakovii","Salix khokhriakovii A.K.Skvortsov"
"Salix kochiana","Salix kochiana Trautv."
"Salix kazbekensis","Salix kazbekensis A.K.Skvortsov"
"Salix × kawamurana","Salix ×kawamurana Kimura"
"Salix kikodseae","Salix kikodseae Goerz"
"Salix ligulifolia","Salix ligulifolia (C.R.Ball) C.R.Ball"
"Salix koriyanagi","Salix koriyanagi Kimura ex Goerz"
"Salix kongbanica","Salix kongbanica Z.Wang & P.Y.Fu"
"Salix × koiei","Salix ×koiei Kimura"
"Salix × koidzumii","Salix ×koidzumii Kimura"
"Salix koeieana","Salix koeieana A.K.Skvortsov"
"Goodyera fumata","Goodyera fumata Thwaites"
"Salix lanata","Salix lanata L."
"Salix lapponum","Salix lapponum L."
"Salix lasiandra","Salix lasiandra Benth."
"Salix lasiolepis","Salix lasiolepis Benth."
"Goodyera fusca","Goodyera fusca (Lindl.) Hook.f."
"Salix kusnetzowii","Salix kusnetzowii Laksch. ex Goerz"
"Angraecopsis pobeguinii","Angraecopsis pobeguinii (Finet) H.Perrier"
"Goodyera gemmata","Goodyera gemmata J.J.Sm."
"Salix laevigata","Salix laevigata Bebb"
"Salix × latifolia","Salix latifolia Bubani, 1897"
"Salix laggeri","Salix laggeri Wimm."
"Salix × lambertiana","Salix lambertiana Sm."
"Goodyera gibbsiae","Goodyera gibbsiae J.J.Sm."
"Salix lemmonii","Salix lemmonii Bebb"
"Salix × dieckiana","Salix ×dieckiana Suksd."
"Salix × leiophylla","Salix ×leiophylla A.Camus & E.G.Camus"
"Salix × laurina","Salix ×laurina Sm."
"Salix ledebouriana","Salix ledebouriana Trautv."
"Salix ledermannii","Salix ledermannii Seemen"
"Salix humboldtiana","Salix humboldtiana Willd."
"Salix hukaoana","Salix hukaoana Kimura"
"Salix × hudsonensis","Salix hudsonensis C.K.Schneid."
"Salix × hostii","Salix ×hostii A.Kern."
"Salix hypoleuca","Salix hypoleuca Seemen"
"Salix hylonoma","Salix hylonoma C.K.Schneid."
"Salix humilis","Salix humilis Marshall"
"Salix hookeriana","Salix hookeriana Barratt ex Hook."
"Salix hexandra","Salix ×hexandra Ehrh."
"Salix × hisauchiana","Salix ×hisauchiana Koidz."
"Salix × holosericea","Salix ×holosericea W.D.J.Koch & Ziz, 1814"
"Salix × hiraoana","Salix ×hiraoana Kimura"
"Salix × hirsutophylla","Salix ×hirsutophylla A.Camus & E.G.Camus"
"Goodyera hachijoensis","Goodyera hachijoensis Yatabe"
"Salix japonica","Salix japonica Thunb."
"Salix × jesupii","Salix ×jesupii Fernald"
"Salix jepsonii","Salix jepsonii C.K.Schneid."
"Salix jenisseensis","Salix jenisseensis (F.Schmidt) Flod."
"Salix jejuna","Salix jejuna Fernald"
"Salix × japopina","Salix ×japopina Kimura"
"Salix × jamesensis","Salix ×jamesensis Lepage"
"Goodyera hemsleyana","Goodyera hemsleyana King & Pantl."
"Salix kangensis","Salix kangensis Nakai"
"Goodyera henryi","Goodyera henryi Rolfe"
"Salix × kamikotica","Salix ×kamikotica Kimura"
"Salix kamanica","Salix kamanica Z.Wang & P.Y.Fu"
"Salix kalarica","Salix kalarica (A.K.Skvortsov) Vorosch."
"Salix × leucopithecia","Salix ×leucopithecia Kimura"
"Goodyera hispaniolae","Goodyera hispaniolae Dod"
"Salix × liegnitzensis","Salix ×liegnitzensis A.Camus & E.G.Camus"
"Salix karelinii","Salix karelinii Turcz. ex Stschegl."
"Salix × laurentiana","Salix ×laurentiana Fernald"
"Goodyera hispida","Goodyera hispida Lindl."
"Salix × dichroa","Salix ×dichroa Döll"
"Salix dibapha","Salix dibapha C.K.Schneid."
"Salix denticulata","Salix denticulata Andersson"
"Salix delnortensis","Salix delnortensis C.K.Schneid."
"Goodyera humicola","Goodyera humicola (Schltr.) Schltr."
"Salix × cremnophila","Salix ×cremnophila Kimura"
"Salix crataegifolia","Salix crataegifolia Bertol."
"Salix × cottetii","Salix ×cottetii A.Kern."
"Salix cheilophila","Salix cheilophila C.K.Schneid."
"Angraecopsis tenerrima","Angraecopsis tenerrima Kraenzl."
"Goodyera inmeghema","Goodyera inmeghema Ormerod"
"Salix cyanolimenaea","Salix cyanolimenaea Hance"
"Salix × cryptodonta","Salix ×cryptodonta Fernald"
"Salix cupularis","Salix cupularis Rehder"
"Salix brachycarpa","Salix brachycarpa Nutt."
"Salix viminalis","Salix viminalis L."
"Goodyera kwangtungensis","Goodyera kwangtungensis C.L.Tso"
"Salix vestita","Salix vestita Pursh"
"Salix shihtsuanensis var. globosa","Salix shihtsuanensis var. globosa C.Y.Yu"
"Salix salviifolia subsp. australis","Salix salviifolia subsp. australis Franco"
"Salix purpurea subsp. eburnea","Salix purpurea subsp. eburnea (Borzì) Cif. & Giac. ex Pignatti"
"Goodyera lamprotaenia","Goodyera lamprotaenia Schltr."
"Salix × woloszczakii","Salix ×woloszczakii Zalewski"
"Salix heishuiensis","Salix heishuiensis N.Chao"
"Goodyera lanceolata","Goodyera lanceolata Ridl."
"Salix paraphylicifolia","Salix paraphylicifolia Chang Y.Yang"
"Salix paraflabellaris","Salix paraflabellaris S.D.Zhao"
"Salix nujiangensis","Salix nujiangensis N.Chao"
"Salix neolapponum","Salix neolapponum Chang Y.Yang"
"Salix metaglauca","Salix metaglauca Chang Y.Yang"
"Salix lanifera","Salix lanifera C.F.Fang & S.D.Zhao"
"Salix shihtsuanensis var. sessilis","Salix shihtsuanensis var. sessilis C.Y.Yu"
"Salix jingdongensis","Salix jingdongensis C.F.Fang"
"Salix fengiana","Salix fengiana C.F.Fang & Chang Y.Yang"
"Salix daliensis","Salix daliensis C.F.Fang & S.D.Zhao"
"Salix kangdingensis","Salix kangdingensis S.D.Zhao & C.F.Fang"
"Salix zayunica","Salix zayunica Z.Wang & C.F.Fang"
"Salix yuhuangshanensis","Salix yuhuangshanensis Z.Wang & C.Y.Yu"
"Salix xizangensis","Salix xizangensis Y.L.Chou"
"Salix jurtzevii","Salix jurtzevii A.K.Skvortsov"
"Salix juparica","Salix juparica Goerz"
"Salix iliensis","Salix iliensis Regel"
"Salix × iwahisana","Salix ×iwahisana Kimura"
"Salix inamoena","Salix inamoena Hand.-Mazz."
"Salix integra","Salix integra Thunb."
"Salix × ikenoana","Salix ×ikenoana Kimura"
"Goodyera longirostrata","Goodyera longirostrata Hayata"
"Salix × irreflexa","Salix ×irreflexa Borbás"
"Goodyera luzonensis","Goodyera luzonensis Ames"
"Salix irrorata","Salix irrorata Andersson"
"Salix × inticensis","Salix ×inticensis Huter"
"Salix × intermedia","Salix intermedia Thomas ex Andersson"
"Salix interior","Salix interior Rowlee"
"Goodyera macrophylla","Goodyera macrophylla Lowe"
"Salix × angusensis","Salix ×angusensis Rech.f."
"Salix apoda","Salix apoda Trautv."
"Salix balfouriana","Salix balfouriana C.K.Schneid."
"Salix × arakiana","Salix ×arakiana Koidz."
"Goodyera major","Goodyera major Ames & Correll"
"Salix annulifera","Salix annulifera C.Marquand & Airy Shaw"
"Salix apennina","Salix apennina A.K.Skvortsov"
"Salix anticecrenata","Salix anticecrenata"
"Goodyera marginata","Goodyera marginata Lindl."
"Salix × altobracensis","Salix ×altobracensis H.J.Coste"
"Salix alpina","Salix alpina Walter"
"Goodyera maurevertii","Goodyera maurevertii Blume"
"Salix amplexicaulis","Salix amplexicaulis Bory"
"Salix amphibola","Salix amphibola C.K.Schneid."
"Salix × ambigua","Salix ambigua Pursh"
"Salix × amoena","Salix ×amoena Fernald"
"Salix amygdaloides","Salix amygdaloides Andersson"
"Salix × ampherista","Salix ×ampherista C.K.Schneid."
"Salix aurita","Salix aurita L."
"Salix atrocinerea","Salix atrocinerea Brot."
"Salix atopantha","Salix atopantha C.K.Schneid."
"Salix athabascensis","Salix athabascensis Raup"
"Salix baileyi","Salix baileyi C.K.Schneid."
"Salix × princeps-ourayi","Salix ×princeps-ourayi Kelso"
"Goodyera micrantha","Goodyera micrantha Schltr."
"Salix × austriaca","Salix ×austriaca Host"
"Salix","Salix L."
"Goodyera modesta","Goodyera modesta Schltr."
"Salix arctica","Salix arctica Pall."
"Salix arbutifolia","Salix arbutifolia Pall."
"Salix arbusculoides","Salix arbusculoides Andersson"
"Salix arbuscula","Salix arbuscula L."
"Salix armenorossica","Salix armeno-rossica A.Skvorts"
"Goodyera nankoensis","Goodyera nankoensis Fukuy."
"Salix arizonica","Salix arizonica Dorn"
"Salix argyrotrichocarpa","Salix argyrotrichocarpa C.F.Fang"
"Salix argyrophegga","Salix argyrophegga C.K.Schneid."
"Salix argyrocarpa","Salix argyrocarpa Andersson"
"Salix argyracea","Salix argyracea E.L.Wolf"
"Goodyera nantoensis","Goodyera nantoensis Hayata"
"Salix × argusii","Salix ×argusii B.Boivin"
"Salix × aschersoniana","Salix ×aschersoniana Seemen"
"Salix bouffordii","Salix bouffordii A.K.Skvortsov"
"Angraecopsis tridens","Angraecopsis tridens (Lindl.) Schltr."
"Salix nakamurana f. yezoalpina","Salix nakamurana f. yezoalpina (Koidz.) H.Ohashi"
"Salix nakamurana subsp. kurilensis","Salix nakamurana subsp. kurilensis (Koidz.) H.Ohashi"
"Salix cacuminis","Salix cacuminis A.K.Skvortsov"
"Salix gonggashanica","Salix gonggashanica C.F.Fang & A.K.Skvortsov"
"Goodyera novembrilis","Goodyera novembrilis (Rchb.f.) Ormerod"
"Salix tangii","Salix tangii K.S.Hao ex C.F.Fang & A.K.Skvortsov"
"Salix × schaburovii","Salix ×schaburovii I.V.Belyaeva"
"Salix qamdoensis","Salix qamdoensis N.Chao & J.Liu"
"Salix cheilophila var. villosa","Salix cheilophila var. villosa G.H.Wang"
"Salix gracilistyla f. melanostachys","Salix gracilistyla f. melanostachys (Makino) H.Ohashi"
"Salix ionica","Salix ionica Brullo, Scelsi & Spamp."
"Salix pseudowolohoensis","Salix pseudowolohoensis K.S.Hao ex C.F.Fang & A.K.Skvortsov"
"Salix futura f. rufa","Salix futura f. rufa (Kimura) H.Ohashi"
"Goodyera oblongifolia","Goodyera oblongifolia Raf."
"Salix gracilistyla f. pendula","Salix gracilistyla f. pendula (Kimura) H.Ohashi"
"Salix opsimantha var. wawashanica","Salix opsimantha var. wawashanica (P.I.Mao & P.X.He) G.H.Zhu"
"Salix hylonoma var. liocarpa","Salix hylonoma var. liocarpa (Goerz) G.H.Zhu"
"Salix fargesii var. kansuensis","Salix fargesii var. kansuensis (K.S.Hao ex C.F.Fang & A.K.Skvortsov) G.H.Zhu"
